,Error
0,596.2008539107685
1,596.2008539107685
2,596.2008539107685
3,596.2008539107685
4,596.2008539107685
5,596.2008539107685
6,596.2008539107685
7,596.2008539107685
8,596.2008539107685
9,596.2008539107685
10,596.2008539107685
11,596.2008539107685
12,596.2008539107685
13,596.2008539107685
14,596.2008539107685
15,596.2008539107685
16,596.2008539107685
17,596.2008539107685
18,596.2008539107685
19,596.2008539107685
20,596.2008539107685
21,596.2008539107685
22,596.2008539107685
23,596.2008539107685
24,596.2008539107685
25,596.2008539107685
26,596.2008539107685
27,596.2008539107685
28,596.2008539107685
29,596.2008539107685
30,596.2008539107685
31,596.2008539107685
32,596.2008539107685
33,596.2008539107685
34,596.2008539107685
35,596.2008539107685
36,596.2008539107685
37,596.2008539107685
38,596.2008539107685
39,596.2008539107685
40,596.2008539107685
41,596.2008539107685
42,596.2008539107685
43,596.2008539107685
44,596.2008539107685
45,596.2008539107685
46,596.2008539107685
47,596.2008539107685
48,596.2008539107685
49,596.2008539107685
50,596.2008539107685
51,596.2008539107685
52,596.2008539107685
53,596.2008539107685
54,596.2008539107685
55,596.2008539107685
56,596.2008539107685
57,596.2008539107685
58,596.2008539107685
59,596.2008539107685
60,596.2008539107685
61,596.2008539107685
62,596.2008539107685
63,596.2008539107685
64,596.2008539107685
65,596.2008539107685
66,596.2008539107685
67,596.2008539107685
68,596.2008539107685
69,596.2008539107685
70,596.2008539107685
71,596.2008539107685
72,596.2008539107685
73,596.2008539107685
74,596.2008539107685
75,596.2008539107685
76,596.2008539107685
77,596.2008539107685
78,596.2008539107685
79,596.2008539107685
80,596.2008539107685
81,596.2008539107685
82,596.2008539107685
83,596.2008539107685
84,596.2008539107685
85,596.2008539107685
86,596.2008539107685
87,596.2008539107685
88,596.2008539107685
89,596.2008539107685
90,596.2008539107685
91,596.2008539107685
92,596.2008539107685
93,596.2008539107685
94,596.2008539107685
95,596.2008539107685
96,596.2008539107685
97,596.2008539107685
98,596.2008539107685
99,596.2008539107685
100,596.2008539107685
101,596.2008539107685
102,596.2008539107685
103,596.2008539107685
104,596.2008539107685
105,596.2008539107685
106,596.2008539107685
107,596.2008539107685
108,596.2008539107685
109,596.2008539107685
110,596.2008539107685
111,596.2008539107685
112,596.2008539107685
113,596.2008539107685
114,596.2008539107685
115,596.2008539107685
116,596.2008539107685
117,596.2008539107685
118,596.2008539107685
119,596.2008539107685
120,596.2008539107685
121,596.2008539107685
122,596.2008539107685
123,596.2008539107685
124,596.2008539107685
125,596.2008539107685
126,596.2008539107685
127,596.2008539107685
128,596.2008539107685
129,596.2008539107685
130,596.2008539107685
131,596.2008539107685
132,596.2008539107685
133,596.2008539107685
134,596.2008539107685
135,596.2008539107685
136,596.2008539107685
137,596.2008539107685
138,596.2008539107685
139,596.2008539107685
140,596.2008539107685
141,596.2008539107685
142,596.2008539107685
143,596.2008539107685
144,596.2008539107685
145,596.2008539107685
146,596.2008539107685
147,596.2008539107685
148,596.2008539107685
149,596.2008539107685
150,596.2008539107685
151,596.2008539107685
152,596.2008539107685
153,596.2008539107685
154,596.2008539107685
155,596.2008539107685
156,596.2008539107685
157,596.2008539107685
158,596.2008539107685
159,596.2008539107685
160,596.2008539107685
161,596.2008539107685
162,596.2008539107685
163,596.2008539107685
164,596.2008539107685
165,596.2008539107685
166,596.2008539107685
167,596.2008539107685
168,596.2008539107685
169,596.2008539107685
170,596.2008539107685
171,596.2008539107685
172,596.2008539107685
173,596.2008539107685
174,596.2008539107685
175,596.2008539107685
176,596.2008539107685
177,596.2008539107685
178,596.2008539107685
179,596.2008539107685
