,Error
0,594.5998528718841
1,580.5227441509437
2,563.2444177566343
3,554.464311458624
4,552.6465945104287
5,543.9243559272817
6,542.1196412458517
7,537.9437864145649
8,532.9673969795009
9,520.0517169705206
10,513.1554826270165
11,459.2403435454224
12,404.8861037148732
13,366.41500443712226
14,348.4171423590949
15,301.57403779724257
16,276.03072953219265
17,241.5416372074801
18,204.6664955873278
19,206.6206948162636
20,157.7357615824513
21,157.80605120734378
22,182.89439764612914
23,183.90634853502496
24,185.4451002399975
25,220.39779416126518
26,224.2841164816869
27,242.05397447015667
28,271.72952796103635
29,272.39822969632735
30,292.89288194895033
31,317.79492712296917
32,333.9465383539764
33,340.504628833284
34,362.09554203462926
35,364.44449876335597
36,345.7477983932068
37,366.85060170296623
38,360.1455411466497
39,381.23329538634925
40,379.29186028868315
41,379.9233213228173
42,389.9057868690219
43,405.5829391238044
44,410.1886543912514
45,410.1325876392302
46,425.2502731178127
47,409.12343556155787
48,426.49760606793393
49,436.5994553056726
50,429.4155145840388
51,435.59086444815034
52,470.43248599286613
53,462.4290254376273
54,458.25891375800256
55,465.35476619809356
56,388.8101242170303
57,321.2952976676977
58,264.7575962256461
59,236.25820897417992
60,183.96950765386828
61,176.6272161963333
62,140.65790073680128
63,116.89809874109845
64,117.70321214360821
65,80.9674913653801
66,66.90990680315161
67,77.54490701223823
68,60.855771151539145
69,44.10785563567416
70,57.09855342573195
71,69.36071110609485
72,90.72182289497954
73,95.19076420032776
74,78.97395340915408
75,91.61252345721857
76,124.10472998118493
77,140.87687799266197
78,151.81060612529222
79,164.81182727815764
80,208.05965042633142
81,212.32533759303575
82,221.26773605520498
83,234.32565719304833
84,248.97462642714632
85,246.16077158367935
86,252.2482709065532
87,257.92854138272213
88,258.8316948337546
89,235.32142867654284
90,239.63646742861255
91,240.35918423474288
92,260.6368711001772
93,255.3925712948535
94,238.71347164187998
95,219.60415645128077
96,222.33283124140684
97,227.34035121205753
98,220.5777055896116
99,211.00272066024397
100,208.1496296361737
101,202.4357300024928
102,193.26421525247352
103,202.7578297999091
104,208.0776567996323
105,203.530524809309
106,211.0720631471706
107,202.65400410740455
108,196.48152629099948
109,205.0996461115987
110,205.80354567898917
111,212.9099215029964
112,219.43512506396513
113,219.92749825160982
114,236.77411479005082
115,242.69543260059126
116,242.7908599933348
117,254.4572756085242
118,249.5749083134169
119,270.07545044990144
120,281.28444654002163
121,296.10118885767093
122,312.97006037071395
123,330.69817925043407
124,346.0008453508815
125,351.61729678429333
126,352.81905514922494
127,381.6531802381004
128,389.7542772671898
129,399.46754282089864
130,395.3299688789659
131,396.15134040729305
132,386.83649279731634
133,388.058247657109
134,379.4942335317112
135,381.07371747956205
136,375.0359030046761
137,359.324003546928
138,356.2800076785338
139,352.27000128192054
140,362.9004704504026
141,353.28551766956684
142,351.9686017340903
143,343.1508601082742
144,344.96198169021017
145,361.92155018258467
146,359.8408884147562
147,355.1177655670259
148,357.78130651473197
149,363.31895471284037
150,357.2730878104988
151,360.89596780121116
152,357.2466968356824
153,361.427618587861
154,366.6882635683276
155,360.6227071869771
156,378.66271251764374
157,380.89695828261557
158,379.26997092548856
159,371.845813841438
160,378.28397188545705
161,378.4970759559029
162,396.94523195868754
163,386.92312911644444
164,387.8398400496633
165,395.6743427739129
166,398.91058913372274
167,403.16322846649325
168,402.5051528669157
169,406.1295356203519
170,410.6429628888911
171,408.64095430196363
172,411.7352895019721
173,407.177410374245
174,423.2499302256377
175,428.62310521795683
176,423.5114452977868
177,410.90606856248166
178,424.3190478049876
179,424.9710848864464
