,Error
0,594.5998528718841
1,594.9086420928448
2,596.3952717026004
3,597.5110461260302
4,600.3601040657311
5,603.6873425215849
6,606.4573452807615
7,612.8185685173404
8,616.4810847435707
9,619.7367199857084
10,620.8912409416174
11,627.4639968561859
12,631.0930129507317
13,636.1509648612796
14,634.1636880430468
15,637.3483435522525
16,642.9634656484455
17,657.2270302416184
18,673.9592396291902
19,695.7916332422197
20,725.019660493539
21,757.9951054941342
22,794.8232071920911
23,832.6508585192598
24,874.715307899813
25,915.0065010862561
26,959.9723749086531
27,1007.1756837366926
28,1054.197375835756
29,1101.7481168011434
30,1151.0262190806588
31,1199.6123155040839
32,1248.3015801783051
33,1298.1782871674063
34,1349.2549191334483
35,1398.9858018190878
36,1448.6563305568907
37,1496.7200148537927
38,1545.2922648681342
39,1592.5468546422871
40,1638.8439084004326
41,1685.5043744906218
42,1733.1620295538942
43,1780.3696058565054
44,1830.2628659007758
45,1880.9620017961745
46,1932.9738278852008
47,1988.2063889544
48,2044.4164186799007
49,2103.2818422983482
50,2164.0683781487
51,2226.5547057857634
52,2289.510902312436
53,2354.7205932136458
54,2421.7287908349826
55,2493.0895272856837
56,2571.4461272403746
57,2656.214438112282
58,2750.2966356941115
59,2849.7299996709485
60,2961.0616325928427
61,3078.3589133652754
62,3208.6607561822834
63,3351.1688262606094
64,3497.318594839587
65,3655.620715151064
66,3825.0042822075807
67,4005.6572772149857
68,4199.320469393499
69,4405.719076545762
70,4626.787355056439
71,4859.100216437273
72,5100.992229439052
73,5348.5407158636235
74,5607.178874519489
75,5873.267291565775
76,6148.277417235657
77,6432.010611597941
78,6725.088415443768
79,7026.100498438909
80,7335.819734846908
81,7653.237899123463
82,7982.426848959297
83,8319.928712292916
84,8665.819859335632
85,9021.653834321207
86,9387.858233784944
87,9765.803927546402
88,10152.845496436954
89,10548.658103703607
90,10955.096377700549
91,11371.884229940884
92,11799.105026288504
93,12237.363033124155
94,12687.299677909617
95,13150.735937470783
96,13625.841635272021
97,14112.491875606347
98,14614.856903475302
99,15129.365751811887
100,15660.3400068009
101,16201.85020721217
102,16757.5610989245
103,17327.096752697274
104,17908.68723368959
105,18502.798340139907
106,19108.998929478952
107,19729.70126859415
108,20367.514803930317
109,21018.322645843422
110,21684.00662374315
111,22364.241305121028
112,23057.31680650162
113,23773.581558587204
114,24504.548874403314
115,25250.22291901342
116,26013.025696112396
117,26792.88892797058
118,27581.666984915704
119,28381.50796163433
120,29197.153817975952
121,30029.87772556602
122,30878.830264287873
123,31747.925812167945
124,32635.50599669134
125,33537.297969105144
126,34453.59844107392
127,35389.008180206714
128,36343.680941326325
129,37312.032509860066
130,38305.98662073753
131,39319.27212554517
132,40352.905215322804
133,41403.183942979864
134,42474.914410316065
135,43569.09054451285
136,44677.9940306912
137,45807.78872671987
138,46958.0486639851
139,48128.443200534704
140,49316.75618335745
141,50525.77054976022
142,51764.50209657967
143,53021.79998855929
144,54298.349595926025
145,55589.725980048606
146,56905.88614029905
147,58246.56377538413
148,59607.33267440928
149,60992.03645111189
150,62396.75630446458
151,63825.69454351681
152,65271.01878638785
153,66741.09907621416
154,68226.32258811909
155,69738.17351598397
156,71273.4785804481
157,72828.85777417941
158,74414.27458468877
159,76029.16022693849
160,77661.35666212736
161,79317.24357169202
162,80998.56387700699
163,82698.5545438008
164,84429.75427759626
165,86180.68087617318
166,87951.19762716346
167,89741.52505769682
168,91557.97080187549
169,93394.7465918235
170,95254.48160244532
171,97135.96760397733
172,99039.58490204813
173,100974.63498476229
174,102932.14539210688
175,104913.59605467407
176,106922.29424480809
177,108976.457216938
178,111048.53044272396
179,113142.79028301054
