,Error
0,599.4584487140775
1,585.0896439309449
2,567.0801207959636
3,559.0839957388921
4,559.9341726866096
5,548.6103932990308
6,548.2364422472532
7,543.3327843696593
8,539.9890601037009
9,532.04261803721
10,525.7374601536214
11,467.3541046864996
12,420.0087833818526
13,384.0269313366505
14,357.75673418735636
15,304.08875384825836
16,276.6307008179631
17,254.16224323768202
18,210.9097549022833
19,221.97779256888833
20,171.05055815921196
21,192.79286422217442
22,212.72258384948861
23,225.23270791399088
24,225.04308045467147
25,261.35572760521075
26,281.43003497466304
27,285.79321149062207
28,326.90360205978715
29,342.095662682034
30,359.43093039665445
31,379.2078711780546
32,384.71972556725177
33,378.80157665124125
34,397.54677172817776
35,402.2381355406029
36,385.1224690833021
37,421.7001221227678
38,406.87114997091663
39,429.08506168026554
40,432.74930086448165
41,437.4584882134395
42,454.34292009167484
43,470.7386183419946
44,449.31466021657536
45,445.2899796023222
46,466.2199453449032
47,461.2479856950387
48,475.66644816978953
49,480.8436459643804
50,475.47363318303337
51,482.0143446279293
52,504.3455021933098
53,502.60345460488367
54,489.9107501108503
55,483.5309205404052
56,414.8370738849683
57,336.774226213613
58,265.03791974635396
59,244.32232021939757
60,191.41340132682333
61,178.0773923754606
62,135.23776680814993
63,118.35227193861479
64,123.8493882242263
65,83.08700504843787
66,82.51821252888963
67,109.30081199466984
68,93.42342395392153
69,77.7364411776627
70,92.55510970720013
71,145.40621145983795
72,183.2149636236471
73,224.46508737613473
74,238.0333644231865
75,293.36679281860796
76,336.154417776337
77,347.68790729033515
78,348.57500518881096
79,326.7464600795108
80,317.63429804433645
81,298.7336960146713
82,323.136337709941
83,333.7840688292788
84,355.18854809250865
85,371.74382122835766
86,361.00720690223153
87,358.8005238415058
88,370.8571908973141
89,340.3254618758259
90,327.35924930807255
91,330.4141791272561
92,333.85660330765575
93,330.0434327199691
94,300.05693083591296
95,291.18855243419927
96,247.86443208938954
97,241.00732551867645
98,214.18422016666239
99,204.1088188701696
100,187.37539412228566
101,178.05137608993812
102,195.66539191638788
103,165.03644669142412
104,179.68590060559515
105,181.54712680875235
106,187.38551224029447
107,199.3101253448919
108,204.8261056411151
109,240.5131622722277
110,254.3646221731292
111,271.4732070482683
112,281.8176600087185
113,289.4606952417865
114,328.5488914669312
115,343.41853028908974
116,354.2039640102823
117,347.4419065491932
118,361.21825024170244
119,372.2014103980269
120,398.1452094365139
121,422.2570285669464
122,411.0501366867695
123,437.78598272349825
124,453.37338948202654
125,488.01717699982987
126,507.68744897094325
127,522.7227433062466
128,537.1450593511047
129,559.8904673583922
130,603.5286390032251
131,582.7034017282241
132,576.0584298553299
133,569.6602475785274
134,564.7479305327946
135,535.4628130555814
136,515.884306372351
137,485.86671337275345
138,469.4039128190573
139,464.0671736667395
140,475.31536618171947
141,482.9621756764086
142,475.44734456772954
143,481.9386394495437
144,481.5051548712502
145,488.60807297938413
146,486.42534674259423
147,489.86884359498833
148,493.1437361989795
149,493.0843846649399
150,491.7882271439468
151,489.6454679891592
152,502.6376834679686
153,497.9051565536158
154,503.5449091305046
155,496.01176844643174
156,525.712743090058
157,524.1130589932893
158,525.0090368222789
159,521.895143014632
160,529.1879538563004
161,548.6638870635977
162,551.7735508402834
163,545.6589143425886
164,543.4613258594145
165,549.8988279918241
166,548.0720316674631
167,546.2978024222202
168,544.2015150055618
169,545.9466896420233
170,544.9151370114986
171,543.1129444313945
172,547.6596935735282
173,543.9898703066101
174,553.1664476296131
175,553.2818462343819
176,551.0158138881125
177,541.9988267517896
178,553.0260222844678
179,554.5679540599374
