,Error
0,594.5998528718841
1,580.5227395702631
2,563.2444087041569
3,554.4641986290485
4,552.6467154468519
5,543.9243334048297
6,542.1196648958894
7,537.9439051346
8,532.9673398512992
9,520.0517249340932
10,513.155456686094
11,459.2403405658854
12,404.88609831428823
13,366.41503118472656
14,348.4171385828654
15,301.58072171441813
16,276.0353980884582
17,241.54264263793613
18,204.66478282979818
19,206.62201266290157
20,157.73609486847516
21,157.8055835708948
22,182.89488818889046
23,183.90683117046933
24,185.44503909927178
25,220.39780203602095
26,224.2841715286825
27,242.054104292636
28,271.7295736267168
29,272.3982602038691
30,292.89294216525286
31,317.79497428765836
32,333.9465918791266
33,340.50513277701697
34,362.09557667151756
35,364.4444440166499
36,345.747612241453
37,366.85065637378585
38,360.14516598423074
39,381.23361282159084
40,379.2918602113297
41,379.9233189258345
42,389.9057805199578
43,405.58293003870597
44,410.1885736065537
45,410.13258393694696
46,425.2502721284574
47,409.12347074464697
48,426.4976902028229
49,436.59948824910623
50,429.41533740982334
51,435.5908551403199
52,470.4324076905261
53,462.42905603303757
54,458.25888944517635
55,465.3547660107415
56,388.81012134036786
57,321.3029923061742
58,264.7603576847494
59,236.25577745601998
60,183.96243886257685
61,176.62052900014203
62,140.64859265301664
63,116.88606276965609
64,117.6903915342361
65,80.9591219468861
66,65.8622512488884
67,77.8415207764304
68,64.02449733411565
69,43.30822037478144
70,55.77354913174853
71,70.45411248941222
72,89.82558913841171
73,88.05608055719567
74,75.38424444424324
75,85.06386119663073
76,102.73051552636159
77,109.04154708406443
78,102.62954177765332
79,116.0175967038
80,177.386170109857
81,198.40153096730768
82,218.4980249580027
83,228.96980457259696
84,235.58385761692196
85,222.61375308787453
86,222.05212302607143
87,213.8008574058561
88,198.99407620384287
89,182.94436645579202
90,165.75467952247797
91,177.22658503106027
92,182.3252370020731
93,216.59184975103705
94,216.46420462689383
95,207.7787475781443
96,221.87013956191302
97,230.94397872902357
98,227.78822064503507
99,214.5705356751783
100,221.17153623644327
101,215.56700949430092
102,216.25717466679885
103,233.34191942016426
104,254.044048824055
105,261.88602742697736
106,267.85504051517364
107,256.8532838669297
108,263.1950603530478
109,272.1044718703925
110,267.92071637511685
111,269.08918534810886
112,278.65286462554803
113,281.11738981111586
114,297.38791892817295
115,333.66722629956496
116,354.76759214201604
117,355.79476639424337
118,378.36545681623426
119,389.8712852910801
120,399.3082083356949
121,412.42900290908943
122,427.41277572987303
123,420.0992048211368
124,425.24651348535144
125,437.523225469305
126,445.3157326700169
127,449.07924003045247
128,461.2178753661792
129,486.76756477776917
130,495.1843112357409
131,492.3360340995319
132,492.7858937659576
133,483.99329446315784
134,467.1883597270897
135,465.1086431431246
136,465.9715268377221
137,440.84838332690504
138,456.3997574334797
139,456.0116510052925
140,460.68931489039363
141,429.39574245570054
142,418.12812991397163
143,404.0441719781075
144,418.65351309366025
145,456.17164398919056
146,456.33656859083504
147,435.1975766577289
148,436.15077755532997
149,435.91845306150765
150,425.4425183641645
151,443.97794771349334
152,427.0367320551323
153,430.8583366580599
154,436.703099806082
155,430.5615085914724
156,446.618463561889
157,451.1481154404226
158,453.41832721735693
159,445.56595531344726
160,447.5868065276943
161,451.80071665807714
162,471.9292212663214
163,464.79681449391495
164,459.8557175743196
165,471.0242236512833
166,476.0525246827593
167,478.51214265856646
168,478.4466765408731
169,482.2885911805054
170,487.5852227716078
171,485.6107068806987
172,488.9687472046202
173,489.2137952463521
174,503.36947672922764
175,507.14113440675965
176,504.22851561833744
177,491.74878144516686
178,506.5300293850684
179,507.5849486752486
