,Error
0,594.5998528718841
1,594.9086407215672
2,596.3952728965704
3,597.5110488372078
4,600.3601040834657
5,603.6873425281182
6,606.4573447752464
7,612.8185690168148
8,616.4810850373063
9,619.7367201874873
10,620.8912410607904
11,627.5071803841839
12,631.218120668759
13,636.3034195425569
14,637.1081680297024
15,638.2751783709498
16,642.4439774193911
17,655.203553644388
18,670.1316546248494
19,690.1801938454939
20,717.3480526424821
21,748.8008896082988
22,784.0689021005512
23,821.4900799351063
24,862.8391927803203
25,903.5091264614334
26,949.5212517038332
27,996.6867229846946
28,1042.7767916377422
29,1091.370814218646
30,1141.1773588121375
31,1189.8641357156682
32,1238.1892732991575
33,1286.9506626260547
34,1336.9690734160308
35,1385.540541377151
36,1434.068053659436
37,1480.920041326339
38,1529.018624554187
39,1576.0354403833385
40,1622.748526166212
41,1669.6686656479642
42,1717.7222485020761
43,1764.3153040825696
44,1811.8698483589476
45,1859.9935418750993
46,1909.1983848388422
47,1961.059718508037
48,2013.4212347540793
49,2068.469137468577
50,2125.18795128916
51,2180.8705384909463
52,2232.0430566140594
53,2279.236537123838
54,2328.107109546728
55,2376.4811625572847
56,2429.533279729043
57,2488.4447488657324
58,2557.006667367207
59,2632.8341190714414
60,2722.8615153013557
61,2821.562659534313
62,2932.812980004808
63,3055.588514304615
64,3181.178829160626
65,3323.2659843126235
66,3473.6194772351873
67,3629.4989985461048
68,3800.8308357734018
69,3984.999347209794
70,4180.329173526673
71,4374.415621390652
72,4568.085614470025
73,4754.560758801616
74,4947.59925841639
75,5129.056566374008
76,5300.224953219402
77,5468.80106089456
78,5636.949811501876
79,5801.545340338145
80,5952.275985331576
81,6106.438187608356
82,6261.965373194869
83,6416.261938250473
84,6562.716805427738
85,6715.826971930269
86,6873.966859958052
87,7034.832171189049
88,7194.855673379262
89,7353.943826646324
90,7515.383390784012
91,7674.9346768762225
92,7834.392307073102
93,7992.71812962378
94,8148.5231913330235
95,8305.680870432929
96,8463.556422200434
97,8617.594147860753
98,8772.47917502647
99,8927.790489107776
100,9079.33841413003
101,9230.801042858395
102,9378.904458658222
103,9528.737288458951
104,9675.685815197254
105,9820.79073661743
106,9965.525191191524
107,10108.61159798271
108,10253.796784028389
109,10395.31184505646
110,10537.16470609464
111,10681.0488276239
112,10824.371662777308
113,10973.79839975643
114,11125.053732185044
115,11275.375798725454
116,11431.624065094064
117,11592.607131877092
118,11755.493058714954
119,11917.181740936561
120,12082.120420022993
121,12252.31964065541
122,12421.212907166624
123,12592.466151638031
124,12767.106337336747
125,12942.77157195741
126,13122.411003667037
127,13302.092937882142
128,13488.705808515468
129,13673.46306790981
130,13870.947956209418
131,14071.673311197526
132,14269.884243255372
133,14463.771932289712
134,14662.532835634029
135,14864.44587264361
136,15064.976714194248
137,15269.140627543162
138,15470.421191175901
139,15671.544712592555
140,15871.719038829235
141,16071.587146174696
142,16275.098671682055
143,16476.017242839294
144,16673.395556854022
145,16866.265319550257
146,17057.164293614464
147,17241.879641441214
148,17423.630992948118
149,17608.577610946006
150,17786.43677381741
151,17965.961639764446
152,18144.391249169876
153,18319.90101277081
154,18490.049845153997
155,18657.966206805668
156,18825.716198964757
157,18984.319105370872
158,19144.1043478684
159,19301.46253426717
160,19448.1622660421
161,19598.967046698315
162,19752.852772036793
163,19898.85109281604
164,20047.75350065696
165,20190.571602064745
166,20327.47914772517
167,20462.255774981906
168,20599.858393634655
169,20729.31739196378
170,20858.834991965774
171,20988.166290635596
172,21112.3657024987
173,21241.5710099233
174,21374.360026020673
175,21505.97858077831
176,21639.795232035536
177,21781.99519260552
178,21919.77108495652
179,22055.65561953434
