,Error
0,595.4115612035242
1,581.7282491814886
2,564.7724949003186
3,556.3382230184177
4,554.755819181859
5,546.2432172572269
6,544.2133836268364
7,540.1089290966199
8,535.3571033280551
9,522.9804558530627
10,516.3419366179246
11,463.41934943060795
12,410.5586984583438
13,372.09822726224877
14,353.9365619136279
15,307.16130396928173
16,281.59755411939614
17,247.21950363758015
18,211.69940964848251
19,215.29410847189052
20,167.03477710024464
21,166.46393301009041
22,192.1417213574184
23,193.14524209556052
24,196.08578848330654
25,229.25375581517605
26,232.8162399899509
27,244.62779769680162
28,274.4885577313656
29,275.0787196704341
30,289.3619243570458
31,314.3959330718814
32,328.95709567683406
33,335.5311353803035
34,356.94903967380134
35,360.3386542165308
36,345.4725615283712
37,364.8638636077847
38,355.9708795803162
39,384.5780444702978
40,384.1663019922799
41,380.76833618505333
42,380.28662043977073
43,401.88696801973515
44,400.6026769092866
45,400.1143220550071
46,419.6494311470565
47,400.12870699507585
48,419.6148955158764
49,424.91325876743946
50,419.0145076124378
51,417.92837297421386
52,440.8923351326429
53,447.62232514705886
54,443.2797860689518
55,444.9066187456347
56,376.9231975295072
57,315.9051782461113
58,241.59877317961906
59,217.82335814261023
60,167.23811048953604
61,166.9474784282849
62,128.65137057697473
63,104.5174189997364
64,113.41741824361071
65,74.68617018982107
66,62.070078809157295
67,73.53554401647585
68,52.81056524131941
69,38.159527588491265
70,46.85776989290217
71,51.87998082316438
72,61.67935737748044
73,64.30715829174083
74,50.897970506647425
75,55.33119662341292
76,81.13538972985916
77,91.5410899350741
78,91.04937324156285
79,99.92592892368233
80,122.21009195742428
81,140.5814105286056
82,160.96312268160779
83,163.86237202924372
84,186.30712808176452
85,191.63793162456724
86,196.55451319515927
87,194.42881498418276
88,197.4560359945991
89,200.79022707431233
90,196.35231377029635
91,197.21510031751697
92,196.80037635072426
93,201.71550114223132
94,202.19127740486286
95,201.44202225808343
96,201.17121421832
97,198.91356750945735
98,200.3190476993757
99,197.37619103383935
100,191.2016127452931
101,191.38038218218892
102,189.93987742598202
103,199.3825373811657
104,203.70148785843685
105,212.24884600570857
106,216.69922456989545
107,214.74068094726059
108,218.8009924175278
109,222.46668742275347
110,224.7983912559983
111,237.54323251540498
112,250.56111742306024
113,265.66221503667964
114,297.9042019526967
115,308.16960843254304
116,342.78134794612635
117,361.11617915387967
118,382.2934343160692
119,406.8554553979435
120,440.829054941773
121,464.0023734836155
122,485.54703925262515
123,518.6573634563251
124,546.1771221803333
125,584.7137860796774
126,613.4696398999293
127,635.8351658100527
128,667.1590939644084
129,708.1055254305165
130,762.986106081355
131,762.7066635008514
132,771.1921443136096
133,769.3757492954649
134,793.5883317124536
135,796.3930565924984
136,800.9792482947172
137,801.6839415974757
138,814.173213626343
139,816.6815475501547
140,824.2352374275694
141,837.069635824359
142,841.9504424890322
143,846.3747470159705
144,847.3527136931034
145,854.604316732704
146,870.9003712510381
147,877.974721541225
148,889.9125057770693
149,891.5166068406182
150,897.0858975047153
151,901.7273543498246
152,911.0052947402077
153,922.7972725984541
154,936.726628591901
155,940.7643845633414
156,961.9623261377949
157,967.3386974317011
158,979.3199958629613
159,992.5212882652356
160,993.6615398808457
161,1002.6220504881098
162,1018.7707953991202
163,1026.9568913209484
164,1032.4952071543164
165,1045.5895179069396
166,1049.243904911046
167,1051.3967954011282
168,1060.1657470716523
169,1071.998930769147
170,1083.749290768907
171,1085.1825578950763
172,1091.639193981956
173,1104.0150350953004
174,1128.2228499561606
175,1133.2704526956784
176,1135.0206798453974
177,1153.3705078141325
178,1172.7373829150538
179,1180.7828721642334
