,Error
0,594.5998528718841
1,580.5227390479474
2,563.2444202787639
3,554.4641987029902
4,552.6467158271022
5,543.9243327314061
6,542.1196650694999
7,537.9439058737448
8,532.9673389014017
9,520.0517241985755
10,513.1554557286671
11,459.2403401370839
12,404.886097923721
13,366.4150310045941
14,348.41713840320244
15,301.57698222810205
16,276.0241743532957
17,241.52002829103643
18,204.63707414827996
19,206.61657852133055
20,156.35065844530828
21,156.5110305608034
22,181.45097384199084
23,186.53326652605028
24,186.17198775410756
25,220.67443284651603
26,225.39365328154065
27,242.54920071366178
28,275.2556674670691
29,276.9245687792858
30,298.6588731399998
31,324.96806966696573
32,345.6865869195106
33,343.7331156973449
34,368.9390328625899
35,370.6694626434383
36,359.9887850053401
37,381.92461741118206
38,372.26740236590547
39,395.8103257525446
40,394.35171301858173
41,394.23888740283445
42,410.2224996492152
43,431.14480037584065
44,426.46220135295215
45,426.2768866847214
46,432.9910211309197
47,416.1771674633947
48,427.2034281077254
49,434.12835423682304
50,428.05883868502275
51,428.32313119701246
52,458.37821034565616
53,459.1922786247613
54,454.12993857686644
55,453.9096715122919
56,384.7977164904263
57,316.4544820768146
58,258.73478161335237
59,237.28752069130826
60,198.07681457603766
61,184.76757298435447
62,138.3738389522892
63,118.77646108845859
64,116.30481631873504
65,78.96898389495284
66,66.67354959112704
67,78.65561728911925
68,58.54717365404809
69,44.70582381291418
70,49.36500741748388
71,71.87581292929846
72,86.92227072590696
73,97.33771180527702
74,91.59707148673816
75,110.8943661486338
76,131.70168084971354
77,165.97285582859772
78,168.5857696985363
79,168.52070276669903
80,198.9636583960209
81,217.13146927092689
82,230.0357405381081
83,232.5443873522097
84,258.25002323537444
85,245.76661869781242
86,235.99734296999105
87,246.3680503654579
88,259.2069142793351
89,265.6234331899684
90,267.80476829849044
91,271.8314777038279
92,271.6503136258019
93,300.7709691207995
94,273.6826606593665
95,252.0718047267245
96,248.11060050147995
97,257.6553295135045
98,248.82173487529525
99,239.03168705760135
100,232.98352988668836
101,227.14636150694375
102,223.96571788323902
103,217.08276783281295
104,231.68745077503485
105,236.88751833925178
106,251.46962684476836
107,260.82337317840836
108,259.3953806617433
109,264.801030193083
110,262.8696138060393
111,252.13612745467307
112,253.0581231828113
113,242.7184842011972
114,249.9386514800425
115,272.9441476882974
116,268.91053657388017
117,286.64619220700996
118,314.55639871918646
119,323.8587189641526
120,337.5165646750691
121,337.84110666798506
122,326.8662162555395
123,328.5274575828072
124,328.8479781685887
125,337.061361062528
126,359.69800115726224
127,360.0363868638613
128,363.3213608845074
129,375.58998226907295
130,379.82110730804897
131,379.60289941951373
132,360.6117861651684
133,357.9187955138498
134,354.2721834544459
135,362.04825779371197
136,364.7891304924081
137,338.00122172286683
138,334.3383253813964
139,336.0494451694227
140,354.69132551117633
141,369.6245949059218
142,361.98915113316446
143,331.4870771149365
144,335.5791628102679
145,321.86530897601443
146,301.1527652610604
147,287.5837972028773
148,269.74195763607685
149,266.21684475022676
150,250.45213206056752
151,242.3548724207258
152,244.65613258811325
153,248.03341050304658
154,269.660506852327
155,261.2001193999414
156,276.3325677508683
157,280.4542139512574
158,287.0557058951852
159,277.6683510656829
160,286.26903896776787
161,285.550868950641
162,301.7703429387928
163,294.84521337015053
164,291.73323872726803
165,299.5862703861424
166,302.9219479164553
167,308.9817095404377
168,307.73123764136255
169,311.6825349149212
170,315.37628958178743
171,313.3328911784946
172,318.05587357429766
173,308.4111858200849
174,323.0949434639177
175,327.77278082176394
176,323.2839031118871
177,311.5310611135444
178,324.4521552618719
179,325.9366550296596
