,Error
0,594.5998528718841
1,580.5227399427037
2,563.2444088324335
3,554.4641990785876
4,552.6467151519556
5,543.9243338908245
6,542.1196649094985
7,537.9439048055268
8,532.9673404891178
9,520.0517255973041
10,513.1554571784661
11,459.24034095288516
12,404.8860986582153
13,366.41503137531777
14,348.41713874371163
15,301.5799814340069
16,276.0348623526892
17,241.5424809194577
18,204.66492204984237
19,206.6218651773797
20,157.73696462531464
21,157.8056467835441
22,182.89482576752147
23,183.90678000268937
24,185.44503930500912
25,220.3978013216169
26,224.28417061479814
27,242.05410388594348
28,271.72957278198436
29,272.398259782076
30,292.89294134534856
31,317.7949733047075
32,333.94659111397095
33,340.50512908207867
34,362.0955759052603
35,364.4444468349291
36,345.74761300901764
37,366.85065542632145
38,360.14516869685616
39,381.2336121437752
40,379.29186196199174
41,379.9233210080065
42,389.90578213009
43,405.58295250987476
44,410.1885738512135
45,410.13258468240963
46,425.2502719340107
47,409.1234703920972
48,426.4976891137871
49,436.5994872563024
50,429.41531827685725
51,435.59085529908896
52,470.43240685973603
53,462.42905665121486
54,458.2588896188249
55,465.35476579061896
56,388.81012199141634
57,321.30210745923455
58,264.75997431119526
59,236.25595310841987
60,183.96967010183124
61,176.62817686879862
62,140.66654361782088
63,116.90993619132968
64,117.70513336619389
65,80.97984321209977
66,65.87445528259406
67,77.83044795099396
68,63.840244960503796
69,42.83809337927826
70,56.616114827066255
71,71.33250344408461
72,89.58053964768318
73,90.76528191114843
74,73.54067528499895
75,83.52038623151591
76,106.26949261122803
77,103.92965790211989
78,95.74067331904006
79,111.04868127102837
80,172.04980065295138
81,178.84114798360608
82,203.3138995242519
83,220.24845866932583
84,223.35878263091203
85,219.46799813451364
86,228.98971066492075
87,215.4260871345839
88,204.4077641367059
89,187.6448604249901
90,167.39800179001176
91,173.5083016767201
92,176.68428183714732
93,207.91845654142085
94,210.68126138921144
95,201.10303100836134
96,211.37273110783187
97,216.87276987523225
98,211.27038742817783
99,213.5065963305277
100,211.34714886118198
101,210.73816629381707
102,214.03003688877774
103,228.26264778666962
104,243.81045317999784
105,253.41893645571812
106,275.2084023693053
107,267.26513577496434
108,264.7093059267838
109,284.9293694144602
110,286.0588738855235
111,292.28612212498115
112,296.99105851307775
113,300.9866383108141
114,316.5638181215022
115,335.8571772033267
116,341.9451299959513
117,367.5406058463526
118,385.6618751609601
119,391.9616330812325
120,404.98435836281925
121,417.7067722908264
122,414.8151548232188
123,413.36261305627033
124,426.2600728539862
125,431.01368024502466
126,427.49470336128275
127,429.6153634638293
128,416.06107932214235
129,436.0887142288233
130,455.43803070627223
131,453.81826946158884
132,441.5820431818879
133,436.7353380011011
134,416.2500634889484
135,424.8146216762791
136,408.08844248138433
137,372.46303969847975
138,367.3775267259385
139,354.5331059129451
140,372.85608537095567
141,358.00253041699057
142,349.80080273761575
143,327.7953730940701
144,328.65317977241324
145,346.4470767756925
146,336.2224002708311
147,316.8700293605593
148,308.73932717935907
149,308.85910981288805
150,303.4847203812811
151,305.891285632356
152,319.3287041317975
153,331.1485278642536
154,354.9821143077851
155,365.90664288365764
156,368.80038811122654
157,375.59363693662704
158,373.7047467016448
159,370.0279726402115
160,372.94309923674524
161,366.8915267838993
162,374.07879081788644
163,406.24419158089404
164,397.23805315451943
165,402.1808228737883
166,422.85269588009265
167,438.2249669917011
168,464.7074081327293
169,476.6847122456335
170,463.4928951855877
171,478.76574850114883
172,506.31894254544045
173,497.6615937574703
174,489.2995304998258
175,494.2479199348952
176,495.5055058320826
177,479.7538588889351
178,488.8126416228959
179,485.43597699382735
