,Error
0,595.4115612035242
1,581.7282497501633
2,564.7724954921407
3,556.3382244977769
4,554.7558191515215
5,546.2432181226842
6,544.2133835545686
7,540.1089286357495
8,535.357104459143
9,522.9805211977047
10,516.341937367806
11,463.4193879498897
12,410.55872286877434
13,372.098323199346
14,353.9367002567521
15,307.1613771038841
16,281.5977165970119
17,247.21956142909616
18,211.69932370081975
19,215.29411944216295
20,167.03493939346623
21,166.46393790833056
22,192.1417544385533
23,193.1452616456767
24,196.08574732679048
25,229.25376110881837
26,232.81637989757292
27,244.62785906667835
28,274.48865054933884
29,275.078746303764
30,289.3620801153767
31,314.396033464272
32,328.95716026602304
33,335.5317594829634
34,356.9490934642237
35,360.33861988253665
36,345.4705450156254
37,364.86398725137246
38,355.97057583706464
39,384.5780452592637
40,384.1662445267061
41,380.76829579747556
42,380.28656726953494
43,401.88689489622396
44,400.6027435230323
45,400.1142720885958
46,419.64940780491776
47,400.12880765097907
48,419.6148015345127
49,424.91334874608145
50,419.0144498011748
51,417.92838915836285
52,440.89221190013944
53,447.6223862294636
54,443.27983399469326
55,444.9065983330602
56,376.9232255605698
57,315.90521077762105
58,241.59882027972955
59,217.82336877333466
60,167.23810731533055
61,166.94747599556868
62,128.65135266710374
63,104.51736749456477
64,113.41738761280949
65,74.68611693657068
66,62.070026306503166
67,73.53550322883903
68,52.81054779888485
69,38.15952621641482
70,46.857825200616965
71,51.88003392320858
72,61.679415349451354
73,64.30714695027082
74,50.89796640823852
75,55.331194370200905
76,81.13539109122065
77,91.54109184559042
78,91.04937609922331
79,99.92593056234911
80,122.21009492621512
81,140.58141438021303
82,160.9631290466017
83,163.86237812441536
84,186.30713539994338
85,191.6379397009768
86,196.55452157716243
87,194.4288241816713
88,197.4560451949002
89,200.79023665856724
90,196.35232444851528
91,197.21511086355017
92,196.8003867622236
93,201.7155125989305
94,202.19128928680288
95,201.44203422080096
96,201.17122671486288
97,198.91358143307332
98,200.31906352478038
99,197.37620755916097
100,191.20163084376324
101,191.38040159766507
102,189.9398987318873
103,199.3825595926931
104,203.70150986814335
105,212.24886730653546
106,216.69924449272375
107,214.7407026868413
108,218.8010169359941
109,222.46671042081837
110,224.79841567993094
111,237.5432602647223
112,250.56114827324288
113,265.66225195566983
114,297.90424297316974
115,308.16964891096336
116,342.7813921628626
117,361.1162257767307
118,382.29348485567954
119,406.8555071789215
120,440.829112114472
121,464.0024360775755
122,485.5471079884887
123,518.6574392083318
124,546.1772031058633
125,584.7138720667823
126,613.4697297394299
127,635.8352612616145
128,667.1591942403874
129,708.1056301415449
130,762.9862182005968
131,762.7067794189024
132,771.1922608016573
133,769.3758668303116
134,793.5884500239687
135,796.3931833757968
136,800.979372193645
137,801.6840727665743
138,814.1733501908451
139,816.6816841887139
140,824.2353740301943
141,837.0697721270002
142,841.950581114329
143,846.3748878122266
144,847.3528568410752
145,854.6044609982719
146,870.9005180067113
147,877.9748678210957
148,889.9126540024992
149,891.516756121848
150,897.0860477415468
151,901.7275080765507
152,911.0054499261284
153,922.7974335479695
154,936.7274666901475
155,940.7652311312694
156,961.9631813856118
157,967.3395670681505
158,979.3208680502888
159,992.522187947714
160,993.6624632104772
161,1002.622989823886
162,1018.7717454455238
163,1026.957851442451
164,1032.49617720806
165,1045.5904966497635
166,1049.2448831183065
167,1051.3977904834817
168,1060.1667530763973
169,1071.9999453688392
170,1083.7503133494597
171,1085.1835856741673
172,1091.6402136000827
173,1104.016062463515
174,1128.2238829944163
175,1133.2714869534523
176,1135.021722937
177,1153.371557200478
178,1172.7384336771713
179,1180.7839253699037
