,Error
0,594.5998528718841
1,580.5227388750876
2,563.2444198315188
3,554.4641982369378
4,552.646715738221
5,543.9243329245763
6,542.119664877223
7,537.9439054491598
8,532.9673392308998
9,520.0517242883908
10,513.1554562084086
11,459.24034022040195
12,404.886098007313
13,366.41503101055554
14,348.41713843731384
15,301.5815280901605
16,276.0359797165656
17,241.542814150478
18,204.66461250619744
19,204.9863505410422
20,156.16312821090108
21,160.1641960672153
22,181.30886724692752
23,186.35601679538692
24,187.64548284227575
25,220.39780265723496
26,228.03340389656915
27,242.54920268560934
28,271.2337588378602
29,271.5221671205185
30,292.2783381172265
31,320.41046698400095
32,333.5299125966073
33,339.1468249356944
34,364.2226818895314
35,364.6413069188894
36,347.2893848229783
37,369.8684762847668
38,355.84717378664493
39,368.92809589042594
40,371.8489250286896
41,365.27148019011355
42,361.1395211278399
43,375.861677745537
44,365.99932878034633
45,365.24813875311565
46,389.21217479877015
47,374.86706131812304
48,398.5694521050795
49,407.59488797384574
50,397.04315109429757
51,399.0245984427605
52,431.86691732448594
53,438.58704560017486
54,439.645677595561
55,440.1792332322573
56,364.39163000575155
57,300.35035431507526
58,239.4846168624234
59,220.49921853434228
60,179.31126123629855
61,169.82565141086434
62,123.69975363108091
63,107.7397258568431
64,116.39335638882177
65,77.77521806375948
66,67.09406014251452
67,83.3040833222297
68,55.683293495296475
69,43.13475004909093
70,50.404172161507546
71,68.32170866295473
72,90.3998279497022
73,100.5129427049301
74,85.12702807762777
75,103.9422966766287
76,141.31317766870504
77,175.02235975861973
78,182.72595739676026
79,196.4509687837852
80,250.5316244562927
81,241.85104684641396
82,245.146570213219
83,248.37707105422828
84,250.1453622947309
85,240.72074603312717
86,239.53487367016754
87,250.31446960790984
88,257.31665601140736
89,292.86595792498076
90,275.41071624502484
91,271.412377982041
92,276.0600006638045
93,292.7231437420657
94,279.9079473504107
95,256.4913321073976
96,252.9503973077192
97,253.43618227112034
98,229.62461496939775
99,208.81484588287344
100,216.71642340631038
101,224.69494520146722
102,220.5261362441549
103,231.0409747901426
104,243.37649912322343
105,251.12459474074447
106,258.7301015084632
107,247.91172924721894
108,245.97213296717626
109,250.64554866709693
110,247.56560959391717
111,261.4270493924661
112,277.1503579414281
113,292.5346844863765
114,328.94018253024063
115,340.8170940384437
116,379.2328008745743
117,401.8783713560193
118,422.7186312058602
119,457.27849843368165
120,489.456144182012
121,524.3823126196176
122,553.4415369694491
123,598.3335804631807
124,634.697496165719
125,678.342435388977
126,707.9790167218292
127,740.3424369650763
128,777.0463017565128
129,831.3814911115751
130,892.1267962930721
131,889.6442357649844
132,895.6945291467978
133,889.8741714028125
134,911.1720469101161
135,910.2447589268738
136,918.5388995545874
137,911.3548111119952
138,916.6159458759761
139,917.8263350863898
140,919.6013040302324
141,929.8075341061306
142,929.8622238557491
143,928.835672386102
144,927.913226213555
145,934.8208186921098
146,949.9377438473886
147,953.0118962319407
148,965.0506644359365
149,966.0921273574476
150,967.0107864483227
151,964.434795709109
152,972.0789657210082
153,973.3153337749873
154,983.7365280733868
155,990.4530986897736
156,1003.4289876427395
157,1006.5756243412045
158,1020.1388844231116
159,1027.5037798592125
160,1025.097800049848
161,1032.4617304688832
162,1047.3872168545265
163,1055.445899034758
164,1057.7375887288847
165,1071.9150204695102
166,1072.1946868082266
167,1074.5434884155723
168,1079.1924173086081
169,1089.3136304406448
170,1098.7740343964615
171,1099.5888654084301
172,1107.4108176762425
173,1115.1154174667556
174,1138.6914930016685
175,1139.7695911584958
176,1143.0426554202013
177,1154.1161099544142
178,1172.671507244441
179,1177.8049168431091
