,Error
0,594.5998528718841
1,580.5227373377402
2,563.2444153223454
3,554.4641967009331
4,552.6467168658505
5,543.9243306074351
6,542.1196647959849
7,537.9439065663793
8,532.9673369519265
9,520.0517219191605
10,513.1554537899385
11,459.2403392048247
12,404.8860971039761
13,366.41503046824107
14,348.4171379935524
15,301.5855304542456
16,276.03883693593997
17,241.54359901804077
18,204.6632602385254
19,206.62289654073086
20,157.72847426385806
21,157.8044958368594
22,184.36338772111264
23,188.00329426648952
24,186.67971411222658
25,223.37900942555632
26,231.4530405926995
27,243.06469065936986
28,276.74304339580476
29,273.43610718236096
30,293.9679384211754
31,325.1758223859281
32,336.23714815111833
33,340.277647689883
34,363.6210381130348
35,368.3608563268405
36,349.4544375922288
37,369.3491706305938
38,359.40916331832324
39,391.6902648720495
40,395.6011798989358
41,394.0220692193944
42,405.6592470526068
43,422.3110743904806
44,415.73009280911606
45,408.97664739052897
46,422.5655677324876
47,409.7322622919369
48,427.2034331691281
49,435.79741732556977
50,429.4153279590968
51,426.1320747200007
52,455.88788792048337
53,457.03323751261206
54,451.3029709884986
55,451.3700526689455
56,381.6583981515238
57,309.51586655506645
58,252.5404948264331
59,229.71178948652403
60,185.99205427057342
61,179.03967630244054
62,130.32385762811282
63,114.60333895891237
64,117.92076082099534
65,82.34252379569601
66,66.12399181062807
67,81.5651110639993
68,56.82918278684128
69,43.451094689158836
70,57.87068333461617
71,68.1506661532489
72,83.98495789252124
73,75.39201309436642
74,53.44033903764054
75,68.92093777034216
76,99.39784282414081
77,123.07269469279878
78,132.0743837388612
79,137.90634345741768
80,160.1506559237335
81,173.50993770915764
82,156.78151967225637
83,159.75529662665818
84,203.19500147282378
85,226.06979867098792
86,225.6977539767726
87,222.31804215207407
88,219.53663141564425
89,214.23555929797396
90,192.51668959273255
91,191.6975605966018
92,185.27881336152936
93,181.72768631037687
94,160.52631738353125
95,151.4452152273476
96,146.394260721394
97,152.36669176218203
98,153.02377698551058
99,153.66942265192907
100,149.54784016014378
101,151.3397355594373
102,146.54890965769505
103,149.6030163301697
104,162.1761624332283
105,177.09987443698017
106,184.77504844390972
107,189.39704281935644
108,179.01425847116153
109,195.50557977670292
110,198.33044113837903
111,211.24460540929056
112,218.68726383164258
113,220.0823007110348
114,234.3324596659986
115,249.5101511426929
116,254.21641186317424
117,268.64760927477397
118,277.58754500396907
119,288.1255150444335
120,303.2938509745132
121,315.1441598684056
122,318.92520068591074
123,305.1038469224838
124,314.0887216400066
125,309.86892544264924
126,327.27117841244507
127,332.0507313788351
128,325.7679712187319
129,331.4917443710611
130,344.98657000822055
131,354.620357269206
132,350.6821393948484
133,346.6178936614908
134,345.26731870134915
135,342.98749399464964
136,329.52789756128163
137,311.42803512670326
138,309.5602428641046
139,308.86970239875734
140,315.3105070189246
141,314.11385849199195
142,309.2858507623562
143,303.06445446048394
144,306.96982345036577
145,321.12379685500133
146,327.0861857928962
147,322.68708999265635
148,325.6091750001044
149,326.72096288212987
150,321.9224848119579
151,322.8426396601595
152,326.0183728157293
153,324.76688332044705
154,339.6155858775655
155,334.30276589082666
156,352.4871338599246
157,353.7242467920868
158,353.22770401176444
159,345.3488586839663
160,353.0347955755792
161,356.5706212859846
162,372.769834490046
163,363.8826238040877
164,362.36089943638694
165,372.96124091230615
166,376.5617932257839
167,373.03133244844844
168,372.05855987968164
169,369.9329113975165
170,374.36186904958873
171,372.52318428319006
172,377.2987187404366
173,368.958070344757
174,383.4046212053988
175,387.90438569848686
176,389.74586160444625
177,379.0028607109159
178,388.54214636859564
179,389.7241419451623
