,Error
0,594.5998527208089
1,580.5227347714692
2,563.2444084622512
3,554.4641937807947
4,552.6467141491256
5,543.924335865526
6,542.1196656978731
7,537.94391107758
8,532.9673336377687
9,520.0517047297483
10,513.1552217828574
11,459.24033913586237
12,404.8860956732868
13,366.41501521620063
14,348.41713809005375
15,301.62889542142847
16,276.1625690773195
17,241.7921980496151
18,204.976156776939
19,206.07869429110215
20,155.7103823790919
21,162.92767322990866
22,185.4511505595219
23,190.29936159606194
24,186.32395843695318
25,223.08212992715872
26,234.0527258577031
27,243.43274383316614
28,276.5720062628034
29,287.4569873543805
30,303.1488046059673
31,327.0428093132296
32,347.42083895359127
33,346.57717571284337
34,365.33573038422713
35,374.74090281462065
36,361.7968461947345
37,389.10874790898555
38,379.22531174313934
39,399.5551348735474
40,404.44380775469074
41,407.24110573454936
42,409.8105836201208
43,422.7011528442343
44,419.22580670323214
45,419.11184441487296
46,420.3921442928542
47,408.17205516328727
48,416.09903777539733
49,423.0164622535017
50,412.6242744557216
51,416.39041985177164
52,437.24276797577016
53,439.5797928567334
54,439.6456783942248
55,443.909229833467
56,374.3151033819794
57,311.5249049723184
58,252.4026789662891
59,223.4490354520868
60,186.8053553761953
61,178.88752421216452
62,144.20955200826543
63,128.4714624401934
64,129.25272984052728
65,89.87321918385956
66,77.46445820331455
67,88.66526782745699
68,75.23298660151863
69,61.78852607153925
70,66.2688006887802
71,72.78520074055362
72,82.98759399135595
73,82.4382254753025
74,69.16256841894752
75,65.56727203115848
76,89.56068693193319
77,106.15109303905207
78,107.97687770264258
79,107.37706711650124
80,153.08752961711136
81,175.7126030619389
82,184.77883395044907
83,197.55594454951913
84,244.8629140482367
85,258.9581658702908
86,248.96748126783007
87,242.75585755304886
88,240.97042935943162
89,246.1383035047017
90,241.90787961592213
91,244.14061940096883
92,241.2769598098806
93,246.50163701479423
94,247.6395362586102
95,247.00551788602692
96,248.5928332168074
97,244.46240928985773
98,248.19074888178412
99,244.72900777518552
100,237.08201154721021
101,238.6333921198959
102,240.8807290150752
103,250.44722315856922
104,256.4923931877795
105,266.18716513039385
106,273.42136832153085
107,271.4712287032562
108,277.2627880867101
109,283.22028656209073
110,282.1319476175138
111,302.4780591713815
112,320.3915346220647
113,339.7413635394272
114,380.06839050417744
115,396.6435707118714
116,445.81663008958355
117,473.4408533585393
118,507.05874828195863
119,533.2055314081189
120,577.6744947140949
121,610.9566275305813
122,639.753338363826
123,687.5720006103948
124,724.5325438636406
125,770.9127662343543
126,807.4725840878964
127,838.860554841999
128,878.2962206586612
129,932.3694180254045
130,1004.1622451479932
131,1003.0100596046157
132,1012.0992547716102
133,1009.1620894767833
134,1037.2029607048676
135,1038.7563141423293
136,1045.7672800330186
137,1044.6358072220328
138,1057.4279646859725
139,1059.9786484102613
140,1066.5792306429678
141,1082.1898668864496
142,1085.310833628694
143,1089.2298262998363
144,1089.3116142473543
145,1098.4699414005215
146,1117.1889461067767
147,1121.7665906514312
148,1137.6188390969069
149,1138.2477529482355
150,1143.191593743986
151,1147.5692294653527
152,1158.6210279838103
153,1170.579729403889
154,1186.9418836749435
155,1193.3735367500417
156,1218.7663922480933
157,1224.1141219822173
158,1238.3897039453689
159,1250.3060395637676
160,1250.7099918287604
161,1260.3097199971419
162,1278.7691416932676
163,1288.6789755723687
164,1293.4687084838883
165,1309.3880088603012
166,1312.364238514173
167,1317.7598560077379
168,1326.178015278881
169,1340.1069619759153
170,1352.5770314742108
171,1353.5470378598764
172,1366.3547149462356
173,1373.1548613933696
174,1401.9733215907363
175,1406.8712394914671
176,1407.6449738222861
177,1424.212728771343
178,1447.9667545213613
179,1456.8409024367027
