,Error
0,594.5998528718841
1,580.5227388750876
2,563.2444198315188
3,554.4641982369378
4,552.646715738221
5,543.9243329245763
6,542.119664877223
7,537.9439054491598
8,532.9673392308998
9,520.0517242883908
10,513.1554562084086
11,459.24034022040195
12,404.886098007313
13,366.41503101055554
14,348.41713843731384
15,301.5815280901605
16,276.0359797165656
17,241.542814150478
18,204.66461250619744
19,206.6221696956092
20,157.73504644777674
21,157.80543804955244
22,182.894953150527
23,183.90689185267735
24,185.44503890755226
25,220.3978026823523
26,224.28417236794277
27,242.05410466489633
28,271.7295743911776
29,272.3982605799296
30,292.8929429003668
31,317.79497516759176
32,333.9465925617016
33,340.5051363753137
34,362.0955773571439
35,364.4444412961605
36,345.747611553888
37,366.8506572194129
38,360.1451633334658
39,381.233613426418
40,379.29185851204176
41,379.9233168976068
42,389.90577894814624
43,405.5829319306084
44,410.1885733903348
45,410.1325832152531
46,425.25025353519965
47,409.12347100921454
48,426.49769129116754
49,436.599489220563
50,429.41533567263826
51,435.5908698715466
52,470.4324085567964
53,462.4290554224839
54,458.25888929056504
55,465.3547662062192
56,388.81012075678757
57,321.3039569664925
58,264.76076808442525
59,236.25556878355158
60,183.95435179059777
61,176.61199026359026
62,140.6286007956767
63,116.85956132706946
64,116.93284790120983
65,81.27109575633929
66,70.22981905718089
67,77.51938622256155
68,65.46266711795873
69,48.525600910920524
70,59.116971208127175
71,77.81271313099852
72,90.01314832220227
73,91.70686388549433
74,72.56868540333677
75,81.73918597982842
76,105.38187669488596
77,130.046954782336
78,129.6284514194912
79,130.06360092939215
80,157.04921790931792
81,166.92260334182365
82,172.50236787175996
83,185.40003154930656
84,227.40263232446446
85,228.27580051520974
86,220.40972501803824
87,226.84000058874068
88,228.02785575751795
89,244.97304431644534
90,228.68144570191066
91,231.15086737754402
92,218.2719903641512
93,212.39384676542932
94,183.04737045129883
95,181.21734826645553
96,170.4685104484101
97,177.74938446966968
98,169.03205409895085
99,153.78266801016397
100,155.66394907297615
101,141.35400017989593
102,142.91634130628947
103,153.48431745208927
104,166.06290995513461
105,179.57327260462466
106,195.00674880099353
107,190.48103439216322
108,180.65410214049578
109,205.21461195657764
110,204.19996792067678
111,210.4282244642549
112,217.7524589547054
113,215.92711344452232
114,214.02219446524487
115,234.43584046725854
116,230.7979555865707
117,246.38531795515055
118,267.83744175185615
119,292.97775165621044
120,307.7867039814986
121,321.4041150683902
122,336.27631169725476
123,344.0360439061464
124,353.3498606825932
125,348.2627895034072
126,349.4160580859306
127,356.02449431402755
128,355.5631127207573
129,351.48435050647424
130,345.03095392996755
131,333.85788695997644
132,327.4603846884697
133,330.1180481445222
134,317.63564747935123
135,315.932267907524
136,331.89674306898974
137,310.174612625672
138,298.3597517795978
139,292.43714438318045
140,305.08721573862135
141,282.5415893953966
142,281.27142036072286
143,278.14934629325705
144,283.32058125085587
145,296.12324179115944
146,284.05283878478747
147,299.17686245411755
148,320.11751593761625
149,332.0943277616414
150,344.09374110651584
151,357.3718633053304
152,351.2982520714881
153,352.1509741529533
154,374.5853060118251
155,379.7823510786869
156,393.77632167075643
157,395.4962051375672
158,399.10598080449705
159,397.4550663100452
160,404.0963641636535
161,394.77110550325966
162,397.82674902723375
163,413.1327507220671
164,417.6711366912467
165,433.17042643927545
166,449.47029025849196
167,468.48029044539487
168,492.4581282296163
169,502.83216451777696
170,484.4409582401404
171,500.4902679025311
172,523.8462042000859
173,502.22098823888666
174,491.4655989098199
175,496.4921145599527
176,497.6526019368185
177,479.7538566246195
178,493.31406970279465
179,487.6754575728801
