,Error
0,594.5998528718841
1,580.5227344882111
2,563.2444079611676
3,554.4641939703691
4,552.6467188791796
5,543.9243273298424
6,542.1196643361656
7,537.9439085085961
8,532.9673327818011
9,520.0517176740018
10,513.1554510976835
11,459.24033834768363
12,404.886096343274
13,366.4150299335187
14,348.4171375734241
15,301.6288950177188
16,276.0842601875447
17,241.5367905183984
18,204.39461612161816
19,206.61872537126462
20,155.3588939609142
21,160.60909475820407
22,185.43307848943
23,193.2596630025008
24,191.67498722304268
25,228.8807496590939
26,232.52975097277255
27,242.75887364392392
28,272.90136332061195
29,276.68923298435993
30,297.1906630167048
31,324.18405045235846
32,339.65447176719107
33,346.57718653455015
34,367.3273147838167
35,372.2184447452794
36,359.9887821252558
37,388.1282732464231
38,372.17362205586744
39,394.0219274221062
40,397.6299725054195
41,394.2616550692756
42,398.9585251522882
43,415.205535486324
44,422.21541946822055
45,420.872491440767
46,435.31169288629434
47,413.2962535207633
48,435.9434234937649
49,448.01537670926155
50,430.7114383667704
51,437.32044566438765
52,472.09774508661644
53,471.96062763632943
54,464.605401215079
55,457.9756754129368
56,386.70585091328803
57,313.2691216102103
58,264.92649689325344
59,239.56034698064434
60,188.89984356435806
61,175.261928204639
62,127.21343068008157
63,105.73436444619409
64,109.19634912822313
65,75.99311743454702
66,80.00366060480609
67,111.1704388166761
68,95.53746858798577
69,87.50576960140859
70,99.08134567771296
71,149.80954469647736
72,196.0120678545559
73,201.39932441843595
74,190.1318754555455
75,234.79840344671567
76,247.94512632237473
77,252.1911416628429
78,250.75033855250328
79,271.9955330771079
80,267.00361047439605
81,231.77070588644952
82,250.68919495994186
83,261.1865159474245
84,277.12668307891477
85,267.3619835160499
86,278.39618745564525
87,251.5949474019585
88,250.46550560877964
89,216.355177949914
90,189.2668754657861
91,205.32579498173502
92,208.24949907723834
93,229.9496110833491
94,225.6929204293492
95,242.77628263835257
96,263.5523011834645
97,273.94979011041033
98,271.9865374801745
99,270.0068332992286
100,269.91377790177756
101,279.76376729171295
102,270.8650018921983
103,263.34040508044126
104,258.6361878688929
105,263.31670421536523
106,280.5800928957615
107,287.93267708666644
108,285.9411296898978
109,288.87529416102615
110,288.81026802256275
111,303.32928523418644
112,302.01919139882204
113,297.9108057087508
114,326.4909539408878
115,350.16082418110676
116,346.6503780428353
117,357.1448711463167
118,365.68543787420776
119,375.3876246453115
120,390.01815657833936
121,407.28184878435667
122,407.09486767583076
123,424.64402338295343
124,439.09317881892906
125,467.7493486196686
126,491.64973452126014
127,504.5201244269969
128,514.3827054177845
129,546.3827531946498
130,573.3203471867566
131,571.7313022530574
132,528.5759028397842
133,529.2355195860193
134,536.5500020969279
135,550.3892284064984
136,558.7664047863847
137,521.9785789802002
138,508.96151932048826
139,479.3631877259707
140,461.87595770111017
141,462.2323489649292
142,482.7144011219844
143,478.5482284847694
144,480.03026960411114
145,514.9416873819822
146,529.811289973908
147,505.41548704179576
148,514.7683802998965
149,519.6763171930249
150,520.0759161689502
151,522.5237495996176
152,507.47720832602386
153,513.2909234210194
154,527.2596302940891
155,525.0546133715205
156,548.8259386128509
157,553.315702589172
158,558.9797990883242
159,557.5238606148844
160,562.2179659528448
161,582.8953379299357
162,590.0385593560577
163,594.8178656014487
164,591.7013853576733
165,600.3946814458993
166,615.4818072468332
167,613.7438252273724
168,614.4589372830133
169,622.1104826820784
170,625.5866666219769
171,624.5271878831018
172,630.0454365971498
173,631.9579595322688
174,652.1237996918829
175,652.24943249574
176,651.8704583577816
177,648.6630425587024
178,666.8926546247839
179,669.0143205648926
